REGEOGR;VB01001_SEXO;VB01002_COR_RACA;VB01003_IDADE;VB01010A-PESSOAS;VB01021-SERIE;VB01022-TURNO;VB01026-PRETENSAO;VB02024-ALIMENTACAO;TEMPOEDFIS;VB07010-BULLYING;VB09010-AGRESSÃO;VB09016-ABUSO;VB06001
1;2;4;14;5;4;3;3;1;110;1;1;2;2
1;2;4;14;3;4;3;3;3;0;1;2;2;1
1;2;1;14;3;4;3;3;1;110;1;1;2;2
1;1;1;15;4;4;3;2;2;175;1;1;2;2
1;2;1;14;5;4;3;4;2;0;2;1;2;1
1;2;4;15;3;4;3;2;1;0;1;1;2;2
1;1;1;14;3;4;3;2;1;90;2;1;2;2
1;2;4;14;4;4;3;3;1;90;2;1;2;2
1;1;2;19;10;1;5;1;5;0;2;8;2;1
1;1;4;14;4;4;3;3;1;110;1;1;2;2
1;1;2;15;2;4;3;3;1;130;1;1;2;2
1;1;4;16;3;3;3;3;3;90;1;1;2;1
1;1;2;14;5;4;3;3;1;70;2;1;2;2
1;2;2;14;4;4;3;1;1;110;2;1;2;2
1;1;4;15;4;4;3;2;2;0;1;1;2;2
1;1;2;15;4;4;3;3;1;0;1;1;1;2
1;1;2;14;5;4;3;2;1;50;1;1;2;2
1;2;4;14;3;4;3;4;2;50;2;1;2;2
1;1;4;16;4;4;3;3;2;90;2;1;2;2
1;1;4;15;6;4;3;3;1;110;1;1;2;2
1;1;4;16;3;4;3;3;1;15;1;1;2;2
1;1;4;16;5;4;3;3;1;0;2;1;2;2
1;2;4;15;5;4;3;3;1;140;2;1;2;2
1;2;4;13;4;4;3;3;1;130;2;1;2;2
1;2;4;14;2;4;3;3;1;130;1;2;1;2
1;2;4;15;4;4;3;3;1;0;1;1;2;1
1;1;4;15;2;4;3;3;1;110;1;1;2;1
1;2;1;13;4;4;3;3;1;110;1;1;2;2
1;2;4;15;4;4;3;3;1;0;1;1;2;1
1;2;1;14;4;4;3;1;1;130;1;1;2;2
1;2;1;15;4;4;3;3;2;90;1;1;2;2
1;1;4;14;5;4;3;3;1;70;2;1;2;1
1;1;4;16;5;4;3;3;1;0;2;1;2;2
1;2;3;16;3;4;3;3;1;70;1;2;2;1
1;1;4;16;6;4;3;4;2;0;2;1;2;2
1;2;4;15;5;4;3;3;1;0;2;1;2;2
1;1;2;16;7;4;3;3;1;130;1;1;2;2
1;1;4;16;4;4;3;3;1;50;2;1;2;2
1;2;1;17;3;4;3;3;1;0;2;2;2;2
1;2;1;16;7;4;3;3;1;10;1;1;2;2
1;1;2;15;4;4;3;3;1;110;1;1;2;2
1;1;2;14;4;4;3;3;1;110;2;1;2;1
1;1;3;16;6;4;3;3;1;110;1;1;2;1
1;2;1;13;3;4;1;2;1;0;2;1;2;2
1;2;4;14;3;4;1;3;3;0;1;1;2;2
1;2;2;14;6;4;1;3;3;45;2;1;2;2
1;2;3;14;4;4;1;2;1;0;1;4;2;2
1;2;4;14;5;4;1;3;1;0;1;1;2;2
1;2;1;14;4;4;1;3;1;15;2;1;2;2
1;2;2;14;5;4;1;3;2;45;2;1;2;2
1;1;2;15;4;4;1;3;1;55;1;1;2;2
1;2;1;14;6;4;1;1;1;0;2;1;2;2
1;1;5;14;3;4;1;3;1;45;2;1;2;2
1;1;1;15;4;4;1;3;1;45;1;1;2;2
1;1;5;13;3;4;1;3;1;15;2;1;2;2
1;2;1;14;4;4;1;3;3;0;1;2;2;2
1;1;1;14;2;4;1;3;1;45;2;1;2;2
1;1;3;14;4;4;1;1;1;65;1;1;2;2
1;2;4;14;4;4;1;3;1;65;1;2;2;2
1;2;1;15;3;4;1;3;2;65;1;1;2;2
1;2;1;13;4;4;1;3;1;130;1;1;2;2
1;2;4;14;3;4;1;3;1;45;1;1;1;2
1;2;1;14;5;4;1;3;1;0;2;1;2;2
1;2;1;13;4;4;1;3;1;5;1;2;2;2
1;2;3;14;4;4;1;3;1;0;2;1;2;2
1;2;4;13;3;4;1;1;1;0;1;1;2;2
1;2;4;14;4;4;1;3;1;0;2;1;2;2
1;2;4;14;4;4;1;3;1;0;1;1;2;2
1;1;1;14;3;4;1;5;2;110;1;4;2;2
1;2;1;14;4;4;1;3;1;0;2;1;2;2
1;2;1;13;6;4;1;2;1;30;1;1;2;2
1;1;1;16;4;4;1;3;1;70;1;1;2;1
1;2;1;14;6;4;1;3;1;10;2;1;2;2
1;1;4;14;2;4;1;1;1;35;1;1;2;2
1;2;4;14;2;4;1;3;2;130;2;1;2;2
1;2;1;14;4;4;1;3;4;90;1;3;2;2
1;2;1;13;4;4;1;2;1;90;1;1;2;2
1;1;3;13;3;4;1;3;3;90;1;1;2;2
1;2;4;14;4;4;1;1;2;70;1;1;1;2
1;2;4;13;3;4;1;1;1;90;1;1;2;2
1;2;4;16;6;4;1;4;1;30;2;1;2;2
1;2;3;14;4;4;1;3;3;110;2;1;2;2
1;1;1;13;4;4;1;3;1;35;1;1;2;2
1;2;1;14;6;4;1;3;1;90;1;1;1;2
1;2;4;15;5;4;1;4;1;50;1;1;2;2
1;1;4;14;4;4;1;3;1;130;1;2;2;1
1;2;4;15;4;4;1;3;1;0;2;1;2;2
1;2;1;16;4;4;1;1;1;130;1;1;2;2
1;1;1;14;6;4;1;3;1;195;2;1;2;2
1;2;1;15;2;4;1;3;1;0;2;1;2;2
1;1;1;13;3;4;1;2;1;30;2;1;2;2
1;2;1;14;8;4;1;3;3;110;2;1;2;2
1;1;4;14;5;4;1;3;1;90;1;1;2;2
1;2;4;14;4;4;1;3;1;30;2;1;2;2
1;1;1;15;3;4;1;3;2;130;2;1;2;2
1;2;4;14;3;4;1;3;1;30;2;1;2;2
1;1;1;14;2;4;1;1;5;110;1;1;2;2
1;2;4;14;2;4;1;3;3;30;1;1;2;2
1;2;4;14;3;4;1;3;1;0;1;1;2;2
1;2;4;14;5;4;1;3;1;90;1;1;2;2
1;1;1;14;4;4;1;4;3;90;2;1;2;2
1;1;2;14;3;4;1;3;1;110;2;1;2;2
1;2;1;14;3;4;1;3;5;90;1;1;2;2
1;2;4;15;4;4;1;3;1;0;1;1;2;2
1;2;2;14;8;4;1;3;1;10;1;1;2;2
1;2;1;13;4;4;1;4;1;30;2;1;2;2
1;2;4;14;6;4;1;3;1;110;2;1;2;2
1;1;1;15;4;4;1;3;1;130;2;1;2;2
1;1;4;14;4;4;1;1;1;65;1;2;2;2
1;2;1;14;6;4;1;3;1;0;1;1;2;2
1;2;1;13;4;4;1;3;2;90;1;1;2;2
1;1;3;16;4;4;1;2;1;30;2;1;2;2
1;2;1;13;3;4;1;1;2;10;2;1;2;2
1;2;1;14;4;4;1;5;1;10;1;1;2;1
1;2;4;13;3;4;1;1;2;70;2;1;2;2
1;2;4;15;3;4;1;3;4;30;1;2;2;2
1;1;4;14;2;4;1;3;1;110;2;1;2;2
